This spectrum was collected on:	2017-09-29	10:42:50
Integration Time:	5	ms
--------------
Fit Parameters
--------------
Center:	7.583e-07	m
FWHM:	3.10e-08	m
-------------
Spectrum Data
-------------
Wavelength (m)	Raw Signal	Blank Signal
7e-07	254.464349895	137.331048703
7.001e-07	308.839175735	114.371456612
7.002e-07	302.00034164	106.90815505
7.003e-07	273.399071404	154.693317623
7.004e-07	265.586851539	129.778422903
7.005e-07	307.197361426	185.771449938
7.006e-07	299.780987521	157.680322528
7.007e-07	319.038960186	140.150329458
7.008e-07	309.379614817	183.342324223
7.009e-07	295.588086044	133.669447941
7.01e-07	297.536140064	175.320082679
7.011e-07	301.310852079	192.929791398
7.012e-07	288.047037368	208.18563036
7.013e-07	305.931708151	141.79741797
7.014e-07	353.8776614	149.008058733
7.015e-07	305.523036345	155.198857024
7.016e-07	350.814438574	187.959971275
7.017e-07	315.818233739	201.37423684
7.018e-07	350.640395348	184.347962971
7.019e-07	307.08469139	119.066005549
7.02e-07	328.148455233	151.683178193
7.021e-07	319.351696763	154.251866161
7.022e-07	338.290507782	174.945508994
7.023e-07	331.082727135	159.041218832
7.024e-07	338.21003896	197.233747999
7.025e-07	369.172048987	145.658297365
7.026e-07	341.043063807	139.580073409
7.027e-07	368.203198903	143.811978543
7.028e-07	311.569009424	189.392435153
7.029e-07	295.075836684	142.884954711
7.03e-07	297.770050517	145.835755889
7.031e-07	288.435521928	132.03781936
7.032e-07	344.197896964	141.43910912
7.033e-07	316.406726738	181.836405281
7.034e-07	310.952135414	137.675885448
7.035e-07	300.797291991	171.811671533
7.036e-07	360.516734134	205.073824279
7.037e-07	315.132517794	162.778406394
7.038e-07	389.688352027	148.982337404
7.039e-07	363.442857907	157.373118359
7.04e-07	357.837085832	200.207745035
7.041e-07	340.630098085	170.979113717
7.042e-07	395.118144618	179.721817332
7.043e-07	405.508277653	139.249381623
7.044e-07	405.820616648	222.003935691
7.045e-07	318.226431471	231.148844115
7.046e-07	380.275632288	191.043582925
7.047e-07	376.449813065	205.152114851
7.048e-07	382.277331736	226.249010934
7.049e-07	381.477217143	226.672200833
7.05e-07	358.948910323	219.926262019
7.051e-07	377.621452461	246.220819313
7.052e-07	408.094126462	195.949088928
7.053e-07	384.293521044	179.192821513
7.054e-07	386.902560496	161.86918542
7.055e-07	372.812656255	214.405010253
7.056e-07	373.449370448	225.096275982
7.057e-07	395.422884958	252.50083208
7.058e-07	340.746184019	155.495841703
7.059e-07	417.33541441	235.630272
7.06e-07	400.512704552	209.397111615
7.061e-07	347.366046911	167.909769838
7.062e-07	375.136882416	194.856022151
7.063e-07	408.611397814	197.044104097
7.064e-07	362.301027289	171.445535301
7.065e-07	351.471401687	188.016385926
7.066e-07	357.455004866	178.321518281
7.067e-07	374.29437777	225.543095639
7.068e-07	368.293065065	251.169575906
7.069e-07	424.953419787	180.116843997
7.07e-07	450.438463251	235.746844193
7.071e-07	412.240888686	169.915153114
7.072e-07	420.579352887	192.299219258
7.073e-07	462.810845173	207.971578331
7.074e-07	429.011647545	187.565610162
7.075e-07	377.114145046	176.008574636
7.076e-07	457.48890083	186.457704765
7.077e-07	436.262242396	255.162454344
7.078e-07	437.83371231	254.544678077
7.079e-07	419.83926751	259.583476651
7.08e-07	415.499744056	202.382021372
7.081e-07	386.788544122	179.701729862
7.082e-07	439.66197068	210.576517054
7.083e-07	403.071432047	238.954611643
7.084e-07	464.99606107	207.089776445
7.085e-07	402.37944459	216.124198656
7.086e-07	441.291534802	264.725228018
7.087e-07	448.841905283	278.043824948
7.088e-07	484.39917972	205.113383242
7.089e-07	447.028603811	217.283391822
7.09e-07	463.769070404	272.194307765
7.091e-07	464.696017979	241.228561092
7.092e-07	501.352975786	224.840210087
7.093e-07	415.395250494	275.034185372
7.094e-07	416.165562631	284.131181041
7.095e-07	474.570265832	211.697299174
7.096e-07	499.512314331	265.372263617
7.097e-07	440.147119687	230.496491273
7.098e-07	447.292466686	261.948958273
7.099e-07	460.696179901	226.729514753
7.1e-07	458.424156037	245.214384186
7.101e-07	437.023487206	254.872454719
7.102e-07	474.705326034	254.697125427
7.103e-07	478.933918544	298.510771784
7.104e-07	530.313193059	242.309395272
7.105e-07	522.543672534	284.725754509
7.106e-07	480.221722086	224.000469138
7.107e-07	543.26117313	211.675215359
7.108e-07	518.179934922	227.823452047
7.109e-07	540.689789365	273.623071117
7.11e-07	489.933370789	282.712230506
7.111e-07	521.851018464	228.132121777
7.112e-07	511.195326121	272.163929042
7.113e-07	479.024199277	302.255404896
7.114e-07	547.37102558	282.517547702
7.115e-07	538.546588622	302.058960957
7.116e-07	547.709413641	294.107765651
7.117e-07	559.6745163	242.321519634
7.118e-07	514.350266539	291.757401984
7.119e-07	569.026374841	326.211554004
7.12e-07	491.682895443	283.990529278
7.121e-07	538.991916958	271.988442985
7.122e-07	546.024381254	259.744832889
7.123e-07	534.936112241	254.160530429
7.124e-07	527.724680248	318.227472084
7.125e-07	532.620893332	319.47085601
7.126e-07	560.21814132	263.351601052
7.127e-07	528.843074579	330.353003562
7.128e-07	569.874598733	297.482973292
7.129e-07	542.938698411	267.732382015
7.13e-07	555.418253139	261.553766244
7.131e-07	589.865581606	287.230047763
7.132e-07	551.372154627	262.241242669
