This spectrum was collected on:	2017-06-30	09:58:50
Integration Time:	5 	ms
--------------
Fit Parameters
--------------
Center:	6.038e-07	m
FWHM:	7.53e-08	m
-------------
Spectrum Data
-------------
Wavelength (m)	Corrected Signal	Applied Blank
3.75e-07	40.8791942347	0.0
3.7525e-07	65.9645217694	0.0
3.755e-07	90.6200143088	0.0
3.7575e-07	116.700159841	0.0
3.76e-07	129.008982296	0.0
3.7625e-07	52.704989521	0.0
3.765e-07	46.6109335324	0.0
3.7675e-07	120.220753899	0.0
3.77e-07	104.557172585	0.0
3.7725e-07	42.9579666373	0.0
3.775e-07	83.9391326509	0.0
3.7775e-07	143.175861889	0.0
3.78e-07	89.0319142206	0.0
3.7825e-07	109.643511925	0.0
3.785e-07	63.7544579172	0.0
3.7875e-07	62.3931447784	0.0
3.79e-07	67.2817807997	0.0
3.7925e-07	49.4729543041	0.0
3.795e-07	93.4790885332	0.0
3.7975e-07	74.2032946935	0.0
3.8e-07	67.8311265922	0.0
3.8025e-07	141.325151527	0.0
3.805e-07	127.926412714	0.0
3.8075e-07	128.445694066	0.0
3.81e-07	74.0295839343	0.0
3.8125e-07	52.4099798527	0.0
3.815e-07	118.416873276	0.0
3.8175e-07	78.0543947228	0.0
3.82e-07	141.489634422	0.0
3.8225e-07	139.105269527	0.0
3.825e-07	60.9650745829	0.0
3.8275e-07	121.417260691	0.0
3.83e-07	100.229958689	0.0
3.8325e-07	92.5657129424	0.0
3.835e-07	94.2900315599	0.0
3.8375e-07	111.468647309	0.0
3.84e-07	117.278776879	0.0
3.8425e-07	63.310019073	0.0
3.845e-07	148.168563246	0.0
3.8475e-07	125.03281112	0.0
3.85e-07	152.381347369	0.0
3.8525e-07	115.52372652	0.0
3.855e-07	144.670045975	0.0
3.8575e-07	133.675673964	0.0
3.86e-07	141.831975042	0.0
3.8625e-07	64.6797902735	0.0
3.865e-07	117.202820847	0.0
3.8675e-07	137.397165973	0.0
3.87e-07	66.9722756255	0.0
3.8725e-07	157.316222037	0.0
3.875e-07	145.97661034	0.0
3.8775e-07	93.9863613863	0.0
3.88e-07	136.228419978	0.0
3.8825e-07	116.709841326	0.0
3.885e-07	163.220397655	0.0
3.8875e-07	134.370805503	0.0
3.89e-07	107.570833624	0.0
3.8925e-07	112.68384156	0.0
3.895e-07	120.933432798	0.0
3.8975e-07	101.708550284	0.0
3.9e-07	146.196156814	0.0
3.9025e-07	75.8841696639	0.0
3.905e-07	151.359091542	0.0
3.9075e-07	149.707407685	0.0
3.91e-07	127.984577228	0.0
3.9125e-07	79.7045380874	0.0
3.915e-07	102.744362669	0.0
3.9175e-07	150.633212971	0.0
3.92e-07	89.1323561169	0.0
3.9225e-07	172.110004672	0.0
3.925e-07	103.585058678	0.0
3.9275e-07	130.154489342	0.0
3.93e-07	79.7654502505	0.0
3.9325e-07	117.146582532	0.0
3.935e-07	141.8021906	0.0
3.9375e-07	109.760193063	0.0
3.94e-07	175.821056811	0.0
3.9425e-07	153.244159505	0.0
3.945e-07	116.918666269	0.0
3.9475e-07	133.997877057	0.0
3.95e-07	92.1555814716	0.0
3.9525e-07	90.5614456241	0.0
3.955e-07	86.711739739	0.0
3.9575e-07	164.943303018	0.0
3.96e-07	111.045135152	0.0
3.9625e-07	179.954033978	0.0
3.965e-07	121.816823631	0.0
3.9675e-07	98.6382450225	0.0
3.97e-07	153.702920652	0.0
3.9725e-07	186.042974828	0.0
3.975e-07	174.982999992	0.0
3.9775e-07	91.7817310467	0.0
3.98e-07	105.192296881	0.0
3.9825e-07	185.757595838	0.0
3.985e-07	111.220812709	0.0
3.9875e-07	168.265418287	0.0
3.99e-07	128.723733117	0.0
3.9925e-07	100.584341963	0.0
3.995e-07	132.668384061	0.0
3.9975e-07	193.26259532	0.0
4e-07	155.829445823	0.0
4.0025e-07	135.533563075	0.0
4.005e-07	104.000637213	0.0
4.0075e-07	120.622693406	0.0
4.01e-07	102.870340095	0.0
4.0125e-07	192.253837751	0.0
4.015e-07	195.345666717	0.0
4.0175e-07	163.02137094	0.0
4.02e-07	120.083742941	0.0
4.0225e-07	163.027826318	0.0
4.025e-07	204.058769945	0.0
4.0275e-07	157.227864295	0.0
4.03e-07	141.220871094	0.0
4.0325e-07	159.993125491	0.0
4.035e-07	192.035465186	0.0
4.0375e-07	122.057763488	0.0
4.04e-07	177.242475186	0.0
4.0425e-07	184.43541774	0.0
4.045e-07	180.523720755	0.0
4.0475e-07	121.373864717	0.0
4.05e-07	125.459096946	0.0
4.0525e-07	181.584200611	0.0
4.055e-07	187.800107106	0.0
4.0575e-07	164.868539504	0.0
4.06e-07	164.104151598	0.0
4.0625e-07	205.859090525	0.0
4.065e-07	198.961156092	0.0
4.0675e-07	166.635862733	0.0
4.07e-07	166.27168531	0.0
4.0725e-07	214.808728602	0.0
4.075e-07	133.344921869	0.0
4.0775e-07	175.24527627	0.0
4.08e-07	229.119250553	0.0
4.0825e-07	138.46023175	0.0
4.085e-07	229.136179774	0.0
4.0875e-07	187.939718743	0.0
4.09e-07	200.821712174	0.0
4.0925e-07	192.862237186	0.0
4.095e-07	185.802243033	0.0
4.0975e-07	158.457915205	0.0
4.1e-07	190.978815956	0.0
4.1025e-07	165.123875056	0.0
4.105e-07	202.606399227	0.0
